prb_alloc,DRB.UEThpUl,target_prb_ratio
54,4860.0,66
15,1357.0,66
71,5583.0,66
93,5607.0,66
18,1938.0,66
66,5580.0,66
7,707.0,66
53,4738.0,66
76,5551.0,66
45,4001.0,66
85,5489.0,66
90,5491.0,66
58,5137.0,66
87,5790.0,66
19,1953.0,66
41,3725.0,66
19,1953.0,66
23,2341.0,66
18,1951.0,66
18,1954.0,66
50,4456.0,66
67,5572.0,66
2,0.0,66
28,2694.0,66
87,5678.0,66
73,5651.0,66
35,3188.0,66
29,2639.0,66
24,2482.0,66
81,5083.0,66
42,3754.0,66
66,5495.0,66
66,5438.0,66
43,3836.0,66
28,2677.0,66
77,5560.0,66
45,3986.0,66
91,5181.0,66
13,1370.0,66
78,5564.0,66
22,2329.0,66
84,5498.0,66
2,0.0,66
78,5418.0,66
58,5187.0,66
19,1953.0,66
4,368.0,66
30,2649.0,66
30,2657.0,66
54,4836.0,66
54,4819.0,66
39,3519.0,66
53,4813.0,66
69,5505.0,66
91,5494.0,66
19,1957.0,66
63,5510.0,66
23,2298.0,66
82,5550.0,66
58,5158.0,66
65,5515.0,66
51,4440.0,66
34,2932.0,66
89,5330.0,66
100,5285.0,66
86,5700.0,66
70,5455.0,66
43,3849.0,66
55,4835.0,66
17,1607.0,66
59,5175.0,66
23,2315.0,66
74,5466.0,66
45,4013.0,66
77,5585.0,66
89,5725.0,66
60,5256.0,66
45,4005.0,66
5,370.0,66
37,3333.0,66
18,1957.0,66
20,2092.0,66
35,3175.0,66
38,3317.0,66
13,1349.0,66
67,5403.0,66
24,2478.0,66
49,4367.0,66
83,5394.0,66
97,5410.0,66
70,5364.0,66
77,5383.0,66
67,5521.0,66
98,5956.0,66
95,5356.0,66
85,5813.0,66
31,2743.0,66
81,5550.0,66
95,5751.0,66
46,4014.0,66
95,5754.0,66
4,367.0,66
2,0.0,66
54,4837.0,66
31,2739.0,66
62,5511.0,66
68,5510.0,66
10,1212.0,66
46,3994.0,66
36,3182.0,66
93,5526.0,66
30,2646.0,66
75,5589.0,66
77,5510.0,66
7,709.0,66
42,3749.0,66
52,4754.0,66
23,2355.0,66
48,4216.0,66
