ue_id,timestamp,prb_alloc,target_thr,DRB.UEThpUl
0,2025-12-11 08:55:33,66,10000.0,[4481.0]
0,2025-12-11 08:55:34,66,10000.0,[5704.0]
0,2025-12-11 08:55:36,66,10000.0,[5772.0]
0,2025-12-11 08:55:37,66,10000.0,[5732.0]
0,2025-12-11 08:55:38,66,10000.0,[5759.0]
0,2025-12-11 08:55:39,66,10000.0,[5760.0]
0,2025-12-11 08:55:40,66,10000.0,[5754.0]
0,2025-12-11 08:55:41,66,10000.0,[5611.0]
0,2025-12-11 08:55:42,66,10000.0,[5564.0]
0,2025-12-11 08:55:43,66,10000.0,[5453.0]
0,2025-12-11 08:55:44,46,10000.0,[5560.0]
0,2025-12-11 08:55:48,46,10000.0,[4030.0]
0,2025-12-11 08:55:49,66,10000.0,[4185.0]
0,2025-12-11 08:55:50,66,10000.0,[5755.0]
0,2025-12-11 08:55:51,66,10000.0,[5777.0]
0,2025-12-11 08:55:52,66,10000.0,[5743.0]
0,2025-12-11 08:55:53,66,10000.0,[5762.0]
0,2025-12-11 08:55:54,66,10000.0,[5742.0]
0,2025-12-11 08:55:55,66,10000.0,[5752.0]
0,2025-12-11 08:55:56,66,10000.0,[5723.0]
0,2025-12-11 08:55:57,66,10000.0,[5778.0]
0,2025-12-11 08:55:58,66,10000.0,[5763.0]
0,2025-12-11 08:55:59,66,10000.0,[5720.0]
0,2025-12-11 08:56:00,66,10000.0,[5772.0]
0,2025-12-11 08:56:02,66,10000.0,[5760.0]
0,2025-12-11 08:56:03,66,10000.0,[5714.0]
0,2025-12-11 08:56:04,66,10000.0,[5556.0]
0,2025-12-11 08:56:05,46,10000.0,[5190.0]
0,2025-12-11 08:56:06,66,10000.0,[4334.0]
0,2025-12-11 08:56:07,66,10000.0,[5771.0]
0,2025-12-11 08:56:08,66,10000.0,[5741.0]
0,2025-12-11 08:56:09,66,10000.0,[5755.0]
0,2025-12-11 08:56:10,66,10000.0,[5711.0]
0,2025-12-11 08:56:11,66,10000.0,[5767.0]
